Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Zahid, Djinn of the Lamp",6,"Legendary Creature - Djinn",U,"dom","76",rare,u,Not Owned,Non-foil,false,,,"artifacts, ramp, reanimator, enrage, evasion, u4.3, core","",67617,
"Angler Turtle",7,"Creature - Turtle",U,"g18","GP2",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Elder Deep-Fiend",8,"Creature - Eldrazi Octopus",U,"emn","5",rare,u,Owned,Non-foil,false,,,"occasional","",61326,
"Maelstrom Djinn",8,"Creature - Djinn",U,"fut","39",rare,u,Owned,Non-foil,false,,,"occasional","",26880,
"Quicksilver Gargantuan",7,"Creature - Shapeshifter",U,"som","39",mythic,u,Owned,Non-foil,false,,,"occasional","",38183,
"Tromokratis",7,"Legendary Creature - Kraken",U,"bng","55",rare,u,Owned,Non-foil,false,,,"occasional","",51725,
"Waker of Waves",7,"Creature - Whale",U,"m21","84",uncommon,u,Owned,Non-foil,false,,,"occasional","",81395,
"Diminish",1,"Instant",U,"ima","50",common,u,Owned,Non-foil,false,,,"occasional","",65979,
"Dive Down",1,"Instant",U,"xln","53",common,u,Not Owned,Non-foil,false,,,"heroic, flash, spells, aggrocontrol, u3.8, core","",65118,
"Force Spike",1,"Instant",U,"ddj","14",common,u,Owned,Non-foil,false,,,"occasional","",46069,
"Spell Pierce",1,"Instant",U,"xln","81",common,u,Owned,Non-foil,false,,,"occasional","",65176,
"Triton Tactics",1,"Instant",U,"ddt","23",uncommon,u,Owned,Non-foil,false,,,"occasional","",,
"Arcane Denial",2,"Instant",U,"a25","41",common,u,Owned,Non-foil,false,,,"occasional","",66996,
"Counterspell",2,"Instant",U,"tmp","57",common,u,Not Owned,Non-foil,false,,,"flash, spells, aggrocontrol, u2.0, core","",9631,
"Daze",2,"Instant",U,"ema","44",uncommon,u,Owned,Non-foil,false,,,"occasional","",60897,
"Into the Roil",2,"Instant",U,"zen","48",common,u,Not Owned,Non-foil,false,,,"spells, flash, aggrocontrol, u2.74, u4.7, core","",34448,
"Mana Leak",2,"Instant",U,"mm2","50",common,u,Not Owned,Non-foil,false,,,"flash, spells, aggrocontrol, u2.0, core","",57220,
"Memory Lapse",2,"Instant",U,"ema","60",common,u,Owned,Non-foil,false,,,"occasional","",60923,
"Negate",2,"Instant",U,"m15","71",common,u,Not Owned,Non-foil,false,,,"flash, spells, aggrocontrol, u2.0, core","",53276,
"Remand",2,"Instant",U,"mm2","55",uncommon,u,Owned,Non-foil,false,,,"occasional","",57372,
"Telling Time",2,"Instant",U,"mm2","61",common,u,Not Owned,Non-foil,false,,,"flash, spells, u2.98, smoothing, core","",57444,
"Withdraw",2,"Instant",U,"pcy","54",common,u,Owned,Non-foil,false,,,"flash, spells, aggrocontrol, blink, occasional","",14263,
"Cackling Counterpart",3,"Instant",U,"mm3","32",rare,u,Owned,Non-foil,false,,,"occasional","",63297,
"Complicate",3,"Instant",U,"ons","76",uncommon,u,Owned,Non-foil,false,,,"occasional","",17849,
"Exclude",3,"Instant",U,"mb1","369",uncommon,u,Not Owned,Non-foil,false,,,"flash, spells, aggrocontrol, u2.0, u4.8.2, core","",,
"Forbid",3,"Instant",U,"exo","35",uncommon,u,Owned,Non-foil,false,,,"occasional","",10459,
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Owned,Non-foil,false,,,"occasional","",12615,
"Intuition",3,"Instant",U,"tmp","70",rare,u,Owned,Non-foil,false,,,"occasional","",9897,
"Neutralize",3,"Instant",U,"iko","59",uncommon,u,Owned,Non-foil,false,,,"u4.9.3, flash, spells, core","",80127,
"Ojutai's Breath",3,"Instant",U,"ima","68",common,u,Not Owned,Non-foil,false,,,"tappers, flash, spells, aggrocontrol, u2.0, u2.86, u3.8, core","",66015,
"Psionic Blast",3,"Instant",U,"tsb","30",rare,u,Owned,Non-foil,false,,,"occasional","",25977,
"Repulse",3,"Instant",U,"cn2","119",common,u,Owned,Non-foil,false,,,"spells, aggrocontrol, control, occasional","",,
"Rushing River",3,"Instant",U,"pls","30",common,u,Owned,Non-foil,false,,,"core, aggrocontrol, ramp, spells","",15243,
"Scatter to the Winds",3,"Instant",U,"bfz","85",rare,u,Owned,Non-foil,false,,,"occasional","",58625,
"Sinister Sabotage",3,"Instant",U,"grn","54",uncommon,u,Owned,Non-foil,false,,,"core, graveyard, spells, control","",69481,
"Thirst for Knowledge",3,"Instant",U,"ddf","68",uncommon,u,Not Owned,Non-foil,false,,,"artifacts, graveyard, flash, reanimator, spells, aggrocontrol, u2.0, smoothing, core","",37704,
"Chemister's Insight",4,"Instant",U,"grn","32",uncommon,u,Not Owned,Non-foil,false,,,"spells, graveyard, flash, mansink, aggrocontrol, u4.7, reanimator, core","",69437,
"Choking Tethers",4,"Instant",U,"ons","74",common,u,Not Owned,Non-foil,false,,,"tappers, flash, spells, aggrocontrol, u3.9, smoothing, core","",17839,
"Cryptic Command",4,"Instant",U,"ima","48",rare,u,Owned,Non-foil,false,,,"occasional","",65975,
"Dismiss",4,"Instant",U,"cn2","108",uncommon,u,Owned,Non-foil,false,,,"occasional","",,
"Fact or Fiction",4,"Instant",U,"c19","85",uncommon,u,Owned,Non-foil,false,,,"occasional","",77284,
"Fortune's Favor",4,"Instant",U,"emn","61",uncommon,u,Owned,Non-foil,false,,,"u4.9.3, flash, smoothing, graveyard, control, spells, reanimator, core","",61334,
"Gifts Ungiven",4,"Instant",U,"ss1","5",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Misdirection",5,"Instant",U,"ddt","15",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,u,Owned,Non-foil,false,,,"occasional","",81375,
"Breakthrough",1,"Sorcery",U,"cns","92",uncommon,u,Owned,Non-foil,false,,,"occasional","",,
"Careful Study",1,"Sorcery",U,"ody","70",common,u,Owned,Non-foil,false,,,"occasional","",16929,
"Chart a Course",2,"Sorcery",U,"xln","48",uncommon,u,Not Owned,Non-foil,false,,,"graveyard, spells, fliers, reanimator, aggrocontrol, u3.3, smoothing, core","",65108,
"Mind Spring",2,"Sorcery",U,"c20","116",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Rite of Replication",4,"Sorcery",U,"c15","105",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Startled Awake",4,"Sorcery",U,"soi","88",mythic,u,Owned,Non-foil,false,,,"occasional","",60014,
"Rise from the Tides",6,"Sorcery",U,"soi","83",uncommon,u,Not Owned,Non-foil,false,,,"spells, u2.80, core","",59824,
"Bident of Thassa",4,"Legendary Enchantment Artifact",U,"a25","42",rare,u,Owned,Non-foil,false,,,"occasional","",66998,
"Cumber Stone",4,"Artifact",U,"con","24",uncommon,u,Owned,Non-foil,false,,,"occasional","",31805,
"Curiosity",1,"Enchantment - Aura",U,"isd","49",uncommon,u,Not Owned,Non-foil,false,,,"heroic, fliers, pingers, tappers, fliers_payoff, tappers_payoff, aggrocontrol, u3.8, occasional","",42538,
"Curious Obsession",1,"Enchantment - Aura",U,"jmp","148",uncommon,u,Owned,Non-foil,false,,,"core, aggrocontrol, heroic, fliers","",,
"Spontaneous Mutation",1,"Enchantment - Aura",U,"emn","74",common,u,Owned,Non-foil,false,,,"occasional","",61126,
"Compulsion",2,"Enchantment",U,"tor","34",uncommon,u,Owned,Non-foil,false,,,"occasional","",17163,
"Ensoul Artifact",2,"Enchantment - Aura",U,"m15","54",uncommon,u,Owned,Non-foil,false,,,"occasional","",53602,
"Favorable Winds",2,"Enchantment",U,"cns","98",uncommon,u,Not Owned,Non-foil,false,,,"fliers, fliers_payoff, u2.67, u3.6, core","",,
"Legacy's Allure",2,"Enchantment",U,"tmp","71",uncommon,u,Owned,Non-foil,false,,,"occasional","",10109,
"Metamorphic Alteration",2,"Enchantment - Aura",U,"m19","60",rare,u,Not Owned,Non-foil,false,,,"pingers, u4.7.2, removal, core","",68281,
"One With the Wind",2,"Enchantment - Aura",U,"xln","64",common,u,Owned,Non-foil,false,,,"occasional","",65140,
"Ongoing Investigation",2,"Enchantment",U,"soi","77",uncommon,m,Not Owned,Non-foil,false,,,"artifacts, manasink, fliers, lifegain, graveyard, tokens, tappers, wide, stax, fliers_payoff, tappers_payoff, aggrocontrol, u2.78, u4.1, core","",60358,
"Pendrell Flux",2,"Enchantment - Aura",U,"usg","87",common,u,Owned,Non-foil,false,,,"occasional","",12281,
"Standstill",2,"Enchantment",U,"ody","102",uncommon,u,Not Owned,Non-foil,false,,,"flash, aggrocontrol, u2.0, core","",16855,
"Drake Haven",3,"Enchantment",U,"akh","51",rare,u,Not Owned,Non-foil,false,,,"graveyard, evasion, u3.0, u4.8, core","",63704,
"Rhystic Study",3,"Enchantment",U,"cm1","15",common,u,Owned,Non-foil,false,,,"occasional","",,
"Verity Circle",3,"Enchantment",U,"rna","58",rare,u,Not Owned,Non-foil,false,,,"tappers, manasink, tappers_payoff, u4.6.4, core","",71116,
"Domestication",4,"Enchantment - Aura",U,"m14","53",rare,u,Owned,Non-foil,false,,,"occasional","",49199,
"Mechanized Production",4,"Enchantment - Aura",U,"aer","38",mythic,u,Owned,Non-foil,false,,,"occasional","",62559,
"Thopter Spy Network",4,"Enchantment",U,"ori","79",rare,u,Not Owned,Non-foil,false,,,"artifacts, stax, artifacts_payoff, evasion, u2.0, core","",57906,
"Time of Ice",4,"Enchantment - Saga",U,"dom","70",uncommon,u,Not Owned,Non-foil,false,,,"tappers, tappers_payoff, aggrocontrol, u4.4, core","",67605,
"Corrupted Conscience",5,"Enchantment - Aura",U,"mbs","22",uncommon,u,Owned,Non-foil,false,,,"occasional","",39509,
"Inexorable Tide",5,"Enchantment",U,"mm2","49",rare,u,Owned,Non-foil,false,,,"occasional","",57254,
"The Mirari Conjecture",5,"Enchantment - Saga",U,"dom","57",rare,u,Owned,Non-foil,false,,,"occasional","",67579,
"Confiscate",6,"Enchantment - Aura",U,"9ed","68",uncommon,u,Owned,Non-foil,false,,,"core, control, ramp","",22427,
"Bloodsoaked Champion",1,"Creature - Human Warrior",B,"ktk","66",rare,b,Not Owned,Non-foil,false,,,"sacrifice, stax, humans, graveyard, wide, aggrocontrol, u2.60, occasional","",54172,
"Changeling Outcast",1,"Creature - Shapeshifter",B,"mh1","82",common,b,Owned,Non-foil,false,,,"u4.9.3, tribal, zombies, core, rogues","",72536,
"Cryptbreaker",1,"Creature - Zombie",B,"emn","86",rare,b,Not Owned,Non-foil,false,,,"zombies, graveyard, reanimator, tokens, wide, tribal_payoff, u2.98, smoothing, core","",61372,
"Dreadmalkin",1,"Creature - Zombie Cat",B,"war","87",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice, counters, heroic, zombies, flash, evasion, aggrocontrol, u4.7, core","",71780,
"Gravecrawler",1,"Creature - Zombie",B,"ddq","59",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Knight of the Ebon Legion",1,"Creature - Vampire Knight",B,"m20","105",rare,b,Owned,Non-foil,false,,,"core, aggrocontrol, manasink, counters","",73109,
"Ruthless Ripper",1,"Creature - Human Assassin",B,"a25","107",common,b,Owned,Non-foil,false,,,"occasional","",67128,
"Blood Artist",2,"Creature - Vampire",B,"avr","86",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice, lifegain, tokens, u2.0, core","",44105,
"Cabal Interrogator",2,"Creature - Zombie Wizard",B,"scg","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",18802,
"Dark Confidant",2,"Creature - Human Wizard",B,"mm2","75",mythic,b,Not Owned,Non-foil,false,,,"humans, wizards, aggrocontrol, lifegain, u4.7.13, smoothing, core","",57344,
"Dauthi Horror",2,"Creature - Dauthi Horror",B,"tmp","122",common,b,Owned,Non-foil,false,,,"occasional","",9479,
"Glint-Sleeve Siphoner",2,"Creature - Human Rogue",B,"aer","62",rare,b,Owned,Non-foil,false,,,"core, counters, aggrocontrol, wide, humans, rogues","",62697,
"Heir of Falkenrath",2,"Creature - Vampire",B,"soi","116",uncommon,b,Owned,Non-foil,false,,,"occasional","",59960,
"Kiku, Night's Flower",2,"Legendary Creature - Human Assassin",B,"chk","121",rare,b,Not Owned,Non-foil,false,,,"control, humans, flash, u2.84, core","",21251,
"Kitesail Freebooter",2,"Creature - Human Pirate",B,"xln","110",uncommon,b,Not Owned,Non-foil,false,,,"humans, fliers, evasion, aggrocontrol, u3.4, core","",65236,
"Knight of Malice",2,"Creature - Human Knight",B,"dom","97",uncommon,b,Owned,Non-foil,false,,,"occasional","",67659,
"Mire Triton",2,"Creature - Zombie Merfolk",B,"thb","105",uncommon,b,Owned,Non-foil,false,,,"core, zombies, lifegain, graveyard, blink","",79334,
"Nezumi Cutthroat",2,"Creature - Rat Warrior",B,"a25","99",common,b,Owned,Non-foil,false,,,"occasional","",67112,
"Nezumi Graverobber",2,"Creature - Rat Rogue",B,"cm2","71",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Nightscape Familiar",2,"Creature - Zombie",B,"e01","35",common,b,Owned,Non-foil,false,,,"occasional","",,
"Oona's Blackguard",2,"Creature - Faerie Rogue",B,"mor","72",uncommon,b,Owned,Non-foil,false,,,"fliers, counters_payoff, counters, core, rogues","",29162,
"Oona's Prowler",2,"Creature - Faerie Rogue",B,"lrw","133",rare,b,Not Owned,Non-foil,false,,,"fliers, graveyard, evasion, aggrocontrol, u2.0, core, rogues","",28739,
"Order of Midnight",2,"Creature - Human Knight",B,"eld","99",uncommon,b,Owned,Non-foil,false,,,"u4.9.3, humans, fliers, spells, graveyard, aggrocontrol, manasink, occasional","",78314,
"Piper of the Swarm",2,"Creature - Human Warlock",B,"eld","100",rare,b,Owned,Non-foil,false,,,"occasional","",78318,
"Reassembling Skeleton",2,"Creature - Skeleton Warrior",B,"m19","116",uncommon,b,Owned,Non-foil,false,,,"occasional","",68393,
"Relentless Dead",2,"Creature - Zombie",B,"soi","131",mythic,b,Owned,Non-foil,false,,,"occasional","",60018,
"Silumgar Assassin",2,"Creature - Human Assassin",B,"c19","128",rare,b,Owned,Non-foil,false,,,"occasional","",77370,
"Undead Augur",2,"Creature - Zombie Wizard",B,"mh1","112",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice, wizards, stax, tribal_payoff, zombies, u4.7, core","",72596,
"Vault Skirge",2,"Artifact Creature - Imp",B,"nph","76",common,b,Not Owned,Non-foil,false,,,"artifacts, fliers, lifegain, evasion, aggrocontrol, u2.0, core","",39770,
"Wall of Souls",2,"Creature - Wall",B,"sth","75",uncommon,b,Owned,Non-foil,false,,,"occasional","",10439,
"Aphetto Exterminator",3,"Creature - Human Wizard",B,"lgn","59",uncommon,b,Owned,Non-foil,false,,,"occasional","",18419,
"Banewhip Punisher",3,"Creature - Human Warrior",B,"hou","59",uncommon,b,Not Owned,Non-foil,false,,,"blink, counters, humans, u3.4, removal, core","",64602,
"Bone Shredder",3,"Creature - Minion",B,"dde","5",uncommon,b,Owned,Non-foil,false,,,"occasional","",35401,
"Cemetery Reaper",3,"Creature - Zombie",B,"m12","86",rare,b,Owned,Non-foil,false,,,"occasional","",41183,
"Dauthi Marauder",3,"Creature - Dauthi Minion",B,"tmp","123",common,b,Owned,Non-foil,false,,,"occasional","",9477,
"Dreamstealer",3,"Creature - Human Wizard",B,"hou","63",rare,b,Not Owned,Non-foil,false,,,"heroic, zombies, graveyard, humans, wizards, tokens, manasink, tappers, tappers_payoff, evasion, aggrocontrol, u3.2, core","",64610,
"Dusk Urchins",3,"Creature - Ouphe",B,"shm","65",rare,b,Owned,Non-foil,false,,,"occasional","",29413,
"Grim Haruspex",3,"Creature - Human Wizard",B,"c19","118",rare,b,Owned,Non-foil,false,,,"occasional","",77350,
"Hypnotic Specter",3,"Creature - Specter",B,"10e","151★",rare,b,Not Owned,Non-foil,false,,,"fliers, evasion, aggrocontrol, u2.0, u2.89, u4.5, core","",,
"Liliana's Standard Bearer",3,"Creature - Zombie Knight",B,"m21","110",rare,b,Owned,Non-foil,false,,,"core, zombies, sacrifice, tokens, wide, flash","",81447,
"Mad Auntie",3,"Creature - Goblin Shaman",B,"mma","90",uncommon,b,Owned,Non-foil,false,,,"occasional","",48672,
"Necroskitter",3,"Creature - Elemental",B,"mm2","88",rare,b,Not Owned,Non-foil,false,,,"counters, counters_payoff, u4.7, core","",57074,
"Needle Specter",3,"Creature - Specter",B,"eve","39",rare,b,Owned,Non-foil,false,,,"occasional","",30124,
"Nyxathid",3,"Creature - Elemental",B,"bbd","153",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Pawn of Ulamog",3,"Creature - Vampire Shaman",B,"c17","120",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Rotting Regisaur",3,"Creature - Zombie Dinosaur",B,"m20","111",rare,b,Not Owned,Non-foil,false,,,"graveyard, zombies, dinosaurs, aggrocontrol, u4.7.7, core","",73121,
"Royal Assassin",3,"Creature - Human Assassin",B,"m11","116",rare,b,Not Owned,Non-foil,false,,,"tappers, control, humans, tappers_payoff, u2.80, core","",37540,
"Ruin Raider",3,"Creature - Orc Pirate",B,"xln","118",rare,b,Owned,Non-foil,false,,,"occasional","",65252,
"Stinkweed Imp",3,"Creature - Imp",B,"gk1","53",common,b,Owned,Non-foil,false,,,"occasional","",,
"Vampire Nighthawk",3,"Creature - Vampire Shaman",B,"c20","140",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Vito, Thorn of the Dusk Rose",3,"Legendary Creature - Vampire Cleric",B,"m21","127",rare,b,Owned,Non-foil,false,,,"core, lifegain_payoff, lifegain, manasink","",81481,
"Yahenni, Undying Partisan",3,"Legendary Creature - Aetherborn Vampire",B,"aer","74",rare,b,Owned,Non-foil,false,,,"occasional","",62701,
"Abyssal Persecutor",4,"Creature - Demon",B,"ima","78",rare,b,Owned,Non-foil,false,,,"occasional","",66035,
"Bane of the Living",4,"Creature - Insect",B,"c19","104",rare,b,Owned,Non-foil,false,,,"occasional","",77322,
"Bone Picker",4,"Creature - Bird",B,"akh","81",uncommon,b,Not Owned,Non-foil,false,,,"sacrifice, fliers, evasion, aggrocontrol, u3.0, core","",63764,
"Braids, Cabal Minion",4,"Legendary Creature - Human Minion",B,"ody","117",rare,b,Not Owned,Non-foil,false,,,"stax, tokens, sacrifice, humans, u4.7, core","",16749,
"Crypt Ghast",4,"Creature - Spirit",B,"c14","139",rare,b,Owned,Non-foil,false,,,"occasional","",55047,
"Grinning Demon",4,"Creature - Demon",B,"ons","153",rare,b,Owned,Non-foil,false,,,"occasional","",17967,
"Haunted Cadaver",4,"Creature - Zombie",B,"ons","154",common,b,Owned,Non-foil,false,,,"occasional","",17927,
"Horobi, Death's Wail",4,"Legendary Creature - Spirit",B,"chk","117",rare,b,Owned,Non-foil,false,,,"occasional","",21245,
"Marsh Flitter",4,"Creature - Faerie Rogue",B,"lrw","125",uncommon,b,Owned,Non-foil,false,,,"core, tokens, sacrifice, goblins, fliers, wide, rogues","",28397,
"Necrotic Ooze",4,"Creature - Ooze",B,"som","72",rare,b,Owned,Non-foil,false,,,"occasional","",38187,
"Nekrataal",4,"Creature - Human Assassin",B,"ema","99",uncommon,b,Owned,Non-foil,false,,,"occasional","",60555,
"Skinrender",4,"Creature - Zombie",B,"som","78",uncommon,b,Not Owned,Non-foil,false,,,"zombies, counters, blink, aggrocontrol, u2.0, u4.5, removal, core","",38453,
"Bone Miser",5,"Creature - Zombie Wizard",B,"c19","15",rare,b,Not Owned,Non-foil,false,,,"zombies, wizards, graveyard, u4.8, core","",77084,
"Gilt-Leaf Winnower",5,"Creature - Elf Warrior",B,"ori","99",rare,b,Owned,Non-foil,false,,,"occasional","",57980,
"Gray Merchant of Asphodel",5,"Creature - Zombie",B,"thb","99",uncommon,b,Owned,Non-foil,false,,,"lifegain, zombies, blink, core","",79322,
"Noxious Ghoul",5,"Creature - Zombie",B,"lgn","77",uncommon,b,Owned,Non-foil,false,,,"u4.9.3, zombies, core, blink","",18561,
"Ob Nixilis, the Fallen",5,"Legendary Creature - Demon",B,"ima","101",mythic,b,Owned,Non-foil,false,,,"occasional","",66081,
"Priest of the Blood Rite",5,"Creature - Human Cleric",B,"ori","112",rare,b,Not Owned,Non-foil,false,,,"blink, sacrifice, stax, humans, tokens, fliers, lifegain, ramp, wide, evasion, u2.65, u4.1, core","",57950,
"Puppeteer Clique",5,"Creature - Faerie Wizard",B,"c17","121",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Throat Slitter",5,"Creature - Rat Ninja",B,"pca","37",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Kokusho, the Evening Star",6,"Legendary Creature - Dragon Spirit",B,"mma","89",mythic,b,Owned,Non-foil,false,,,"core, ramp, fliers, control, lifegain, sacrifice","",48962,
"Noosegraf Mob",6,"Creature - Zombie",B,"emn","98",rare,b,Not Owned,Non-foil,false,,,"counters, zombies, tokens, wide, blink, stax, u4.6.3, reanimator, occasional","",61374,
"Silent Specter",6,"Creature - Specter",B,"ons","169",rare,b,Owned,Non-foil,false,,,"occasional","",17979,
"Skeletal Vampire",6,"Creature - Vampire Skeleton",B,"gk2","34",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Tasigur, the Golden Fang",6,"Legendary Creature - Human Shaman",B,"uma","117",rare,m,Owned,Non-foil,false,,,"occasional","",70019,
"Visara the Dreadful",6,"Legendary Creature - Gorgon",B,"ema","114",rare,b,Owned,Non-foil,false,,,"occasional","",60767,
"Overseer of the Damned",7,"Creature - Demon",B,"e01","36",rare,b,Not Owned,Non-foil,false,,,"ramp, reanimator, graveyard, zombies, control, fliers, u4.9, removal, core, blink","",,
"Dark Ritual",1,"Instant",B,"a25","82",common,b,Owned,Non-foil,false,,,"occasional","",67078,
"Fatal Push",1,"Instant",B,"aer","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",62689,
"Fungal Infection",1,"Instant",B,"dom","94",common,b,Owned,Non-foil,false,,,"occasional","",67653,
"Ghastly Demise",1,"Instant",B,"cmr","129",common,b,Owned,Non-foil,false,,,"core, removal, graveyard, control","",85040,
"Skulduggery",1,"Instant",B,"xln","123",common,b,Owned,Non-foil,false,,,"occasional","",65262,
"Tragic Slip",1,"Instant",B,"dka","76",common,b,Not Owned,Non-foil,false,,,"sacrifice, spells, flash, u2.0, removal, core","",43189,
"Undying Evil",1,"Instant",B,"dka","77",common,b,Not Owned,Non-foil,false,,,"blink, heroic, counters, spells, flash, aggrocontrol, u2.79, core","",43393,
"Doom Blade",2,"Instant",B,"e02","18",uncommon,b,Owned,Non-foil,false,,,"core, removal, spells, flash","",,
"Last Gasp",2,"Instant",B,"uma","103",common,b,Owned,Non-foil,false,,,"occasional","",70279,
"Moment of Craving",2,"Instant",B,"mb1","716",common,b,Not Owned,Non-foil,false,,,"spells, lifegain, flash, u3.9, u4.8, removal, core","",,
"Smother",2,"Instant",B,"ddp","57",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Subtle Strike",2,"Instant",B,"kld","100",common,b,Owned,Non-foil,false,,,"occasional","",61665,
"Tainted Pact",2,"Instant",B,"ody","164",rare,b,Owned,Non-foil,false,,,"occasional","",16751,
"Butcher's Glee",3,"Instant",B,"ima","84",common,b,Owned,Non-foil,false,,,"occasional","",66047,
"Dismember",3,"Instant",B,"mm2","79",uncommon,b,Owned,Non-foil,false,,,"occasional","",57330,
"Sudden Death",3,"Instant",B,"tsp","134",uncommon,b,Owned,Non-foil,false,,,"occasional","",25743,
"Bake into a Pie",4,"Instant",B,"eld","76",common,b,Not Owned,Non-foil,false,,,"artifacts, spells, lifegain, flash, u4.8, removal, core","",78264,
"Torment of Venom",4,"Instant",B,"hou","79",common,b,Owned,Non-foil,false,,,"counters, removal, core","",64642,
"Contagion",5,"Instant",B,"all","45",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Rescue from the Underworld",5,"Instant",B,"ths","102",uncommon,b,Owned,Non-foil,false,,,"occasional","",50380,
"Thrilling Encore",5,"Instant",B,"bbd","53",rare,b,Owned,Non-foil,false,,,"occasional","",68834,
"Blackmail",1,"Sorcery",B,"9ed","115",uncommon,b,Owned,Non-foil,false,,,"occasional","",22715,
"Innocent Blood",1,"Sorcery",B,"e02","19",common,b,Owned,Non-foil,false,,,"occasional","",,
"Reanimate",1,"Sorcery",B,"uma","110",rare,b,Owned,Non-foil,false,,,"occasional","",70017,
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,b,Owned,Non-foil,false,,,"occasional","",61144,
"Exhume",2,"Sorcery",B,"pd3","17",common,b,Not Owned,Non-foil,false,,,"graveyard, u2.63, u2.85, u3.6, u4.9, reanimator, core","",43101,
"Feed the Swarm",2,"Sorcery",B,"znr","102",common,b,Owned,Non-foil,false,,,"core, removal, enchantment_removal","",83167,
"Night's Whisper",2,"Sorcery",B,"5dn","55",uncommon,b,Not Owned,Non-foil,false,,,"lifegain, spells, aggrocontrol, u2.0, smoothing, core","",20816,
"Profane Command",2,"Sorcery",B,"c20","135",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Sign in Blood",2,"Sorcery",B,"cm2","77",common,b,Owned,Non-foil,false,,,"occasional","",,
"Torment of Hailfire",2,"Sorcery",B,"hou","77",rare,b,Not Owned,Non-foil,false,,,"control, manasink, ramp, spells, u4.1, core","",64638,
"Walk the Plank",2,"Sorcery",B,"xln","130",uncommon,b,Not Owned,Non-foil,false,,,"spells, u3.8, removal, core","",65276,
"Bog Down",3,"Sorcery",B,"pls","39",common,b,Owned,Non-foil,false,,,"occasional","",15063,
"Buried Alive",3,"Sorcery",B,"uma","88",uncommon,b,Owned,Non-foil,false,,,"occasional","",70249,
"Infest",3,"Sorcery",B,"cn2","139",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Read the Bones",3,"Sorcery",B,"c17","122",common,b,Owned,Non-foil,false,,,"occasional","",,
"Stupor",3,"Sorcery",B,"tsb","48",rare,b,Not Owned,Non-foil,false,,,"spells, aggrocontrol, u2.0, core","",26079,
"Dread Return",4,"Sorcery",B,"c14","142",uncommon,b,Not Owned,Non-foil,false,,,"graveyard, sacrifice, spells, reanimator, u3.9, u4.7, core","",55286,
"Vigor Mortis",4,"Sorcery",B,"gk1","54",uncommon,m,Owned,Non-foil,false,,,"reanimator, graveyard, counters, core","",,
"Crux of Fate",5,"Sorcery",B,"frf","65",rare,b,Not Owned,Non-foil,false,,,"spells, wrath, u2.0, u4.1, removal, core","",55450,
"Living Death",5,"Sorcery",B,"cm2","68",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Army of the Damned",8,"Sorcery",B,"c18","113",mythic,b,Owned,Non-foil,false,,,"occasional","",,
"Decree of Pain",8,"Sorcery",B,"c17","111",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Animate Dead",2,"Enchantment - Aura",B,"2ed","93",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Dreadhorde Invasion",2,"Enchantment",B,"war","86",rare,b,Not Owned,Non-foil,false,,,"zombies, counters, lifegain, sacrifice, stax, u4.7.1, core","",71778,
"Cartouche of Ambition",3,"Enchantment - Aura Cartouche",B,"akh","83",common,b,Not Owned,Non-foil,false,,,"counters, heroic, lifegain, u4.7, removal, core","",63768,
"Necromancy",3,"Enchantment",B,"vis","64",uncommon,b,Owned,Non-foil,false,,,"occasional","",7649,
"Phyrexian Arena",3,"Enchantment",B,"dde","27",rare,b,Not Owned,Non-foil,false,,,"lifegain, u2.0, control, smoothing, core","",35497,
"Stab Wound",3,"Enchantment - Aura",B,"gk2","35",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Demonic Pact",4,"Enchantment",B,"ori","92",mythic,b,Owned,Non-foil,false,,,"occasional","",57934,
